TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PEP_STAR,RECENT_STAR_STATUS,recency_freq_status,RECENT_CARD_RESPONSE_PROP,MONTHS_SINCE_LAST_PROM_RESP,LAST_GIFT_AMT,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
0,0,153129,17,42,0,U,10,H,M,4,1,,1101,218,45,0,0,F1,0.5,16,15,10,16,16
0,0,154946,77,42,0,T,39,H,F,4,0,,1005,340,87,0,0,A1,0.333,18,20,9,18,66
0,0,155516,29,42,0,C,30,H,M,4,1,,893,402,60,0,0,N1,0,15,20,11,15,27
0,0,155972,29,42,0,C,24,H,M,3,0,,2444,358,63,1,1,S3,0.556,20,10,12,20,32
0,0,157655,77,42,0,C,24,H,M,6,0,9,4206,789,89,0,0,A1,0.111,21,32,14,21,68
0,0,158609,17,42,0,S,11,H,M,5,1,,3582,490,80,0,0,F1,0.5,18,20,10,18,18
0,0,160444,89,42,0,T,38,H,F,5,0,,1537,214,39,1,0,A1,0.182,22,25,13,22,88
0,0,161189,41,42,0,T,40,H,M,6,0,,1478,418,88,0,0,A1,0,,25,13,23,31
1,18,161309,101,42,0,R,42,U,M,2,1,3,1601,329,74,0,0,A1,0.25,18,16,11,18,93
1,25,164372,77,42,0,S,15,H,M,6,0,7,1861,402,33,0,0,A3,0.273,16,21,14,16,69
1,10,165033,29,42,0,T,35,U,M,,0,,3207,705,93,0,0,A3,0.429,21,20,13,21,31
1,25,165830,53,42,0,C,24,H,F,6,0,9,3230,650,79,0,0,E1,0,15,25,10,15,50
0,0,167336,53,42,0,T,40,H,M,6,0,3,1804,401,37,0,0,A1,0.143,24,22,11,24,53
1,12,167357,29,42,0,S,14,H,M,6,1,,2429,315,21,1,0,A3,0.333,18,10,13,18,29
1,10,168358,77,42,0,U,9,H,M,4,1,1,1401,232,31,1,0,A1,0.182,20,17,13,20,75
0,0,171420,113,42,0,C,27,U,M,,0,6,1583,498,91,1,0,A1,0,19,17,13,19,112
1,5,171528,89,42,0,R,46,U,F,,0,6,1895,317,71,1,1,S1,0.3,20,10,13,20,86
1,8,173985,53,42,0,U,5,U,M,6,1,7,2080,479,75,1,1,S3,0.091,19,5,12,19,52
0,0,175764,65,42,0,S,20,U,F,,0,8,874,365,56,1,0,A1,0,18,24,13,18,56
0,0,175863,89,42,0,S,12,U,M,,0,9,843,290,48,0,0,A1,0,18,15,13,18,89
0,0,176625,137,42,0,R,51,U,M,5,1,2,399,165,66,0,0,A3,0,15,5,12,15,126
0,0,178001,65,42,0,R,46,U,F,5,1,3,497,286,64,0,0,A1,0,26,15,10,26,64
0,0,178421,41,42,0,S,17,U,F,,1,5,1329,416,84,1,1,S3,0.182,17,15,13,17,44
0,0,178464,125,42,0,S,11,H,F,7,0,8,1526,452,52,0,0,A2,0.111,19,10,13,19,126
0,0,180449,41,42,0,S,12,U,F,,0,,1561,554,94,0,0,A1,0.143,17,15,10,17,40
1,15,181117,65,42,0,R,48,H,F,4,1,4,1333,340,86,0,0,A4,0.429,16,10,10,16,64
0,0,183688,137,42,0,R,49,U,F,1,1,1,519,257,67,0,0,A1,0.111,18,20,13,18,124
0,0,183932,113,42,0,R,45,H,M,6,0,1,534,206,81,1,1,S2,0.3,18,15,13,18,111
0,0,184067,29,42,0,C,24,H,F,4,0,,798,400,78,0,0,A2,0.125,25,15,12,17,32
0,0,191484,65,42,1,?,,U,F,3,1,7,701,329,72,0,0,A1,0,18,20,13,18,56
0,0,236,89,43,0,U,7,H,M,4,1,4,1296,358,52,1,0,A1,0.5,11,10,26,5,87
0,0,286,89,43,0,R,49,H,M,3,1,,542,301,65,0,0,A1,0,26,25,12,26,87
0,0,1808,29,43,0,S,12,U,F,5,0,,1072,517,91,0,0,N1,0.167,23,20,15,23,32
0,0,1863,101,43,0,T,38,H,U,6,1,6,713,343,16,1,1,S3,0.333,16,12,15,16,101
0,0,2166,137,43,0,R,47,H,F,4,0,,475,241,78,1,1,S4,0.333,18,11,21,18,124
1,9,2365,53,43,0,T,35,U,M,5,1,9,1408,611,93,1,0,A4,0.778,12,4,26,12,53
0,0,3819,125,43,1,C,25,U,F,7,1,,884,332,63,1,0,A3,0.286,20,11,23,20,125
0,0,5267,89,43,1,U,2,H,M,7,0,6,801,309,19,0,0,A2,0.3,16,25,20,16,86
1,25,5321,29,43,1,S,12,H,U,6,0,,2220,550,82,1,0,A1,0.286,18,25,31,8,44
0,0,5604,65,43,1,U,8,H,F,5,0,3,1317,274,61,0,0,A1,0,23,15,17,23,63
0,0,7516,125,43,1,C,24,H,F,5,1,8,2464,616,94,1,1,S4,0.545,21,5,20,21,123
0,0,8637,137,43,0,R,53,U,M,4,0,1,284,174,74,1,1,S2,0,26,0,15,11,130
1,5,10145,77,43,0,C,24,H,F,7,0,8,2362,613,92,0,0,A2,0.333,25,5,29,16,68
0,0,10614,125,43,1,T,39,H,F,4,0,2,457,253,82,1,0,A1,0,26,12,22,26,124
0,0,12338,89,43,1,S,12,U,F,,0,7,757,510,97,1,1,S2,0.364,18,50,29,14,87
1,10,12837,41,43,1,S,18,U,F,,0,,1072,547,90,1,0,A4,0.3,16,5,26,13,43
0,0,14846,125,43,1,S,17,H,F,4,1,5,925,315,35,1,1,S2,0.3,24,11,12,24,125
1,15,14984,101,43,0,?,,H,M,6,1,8,1793,781,94,1,0,E1,0.25,21,18,5,21,93
0,0,16688,17,43,0,T,35,H,F,5,0,,1018,472,83,0,0,N3,0.333,16,10,11,16,21
0,0,16837,89,43,0,C,22,H,F,5,1,9,1610,413,53,1,0,A1,0,18,15,12,18,86
1,13,17418,29,43,0,S,15,H,F,3,0,,853,289,24,0,0,A3,0.429,16,11,13,16,27
0,0,17516,65,43,0,T,40,U,F,6,1,7,834,376,82,0,0,A2,0.1,20,14,13,20,64
0,0,17890,137,43,0,C,30,H,M,6,1,4,486,210,68,1,0,A1,0.167,20,25,14,20,115
1,12,18104,137,43,0,C,22,U,M,3,0,8,915,327,61,1,1,S3,0.143,16,13,13,16,123
0,0,18300,113,43,0,T,35,H,M,5,1,8,1019,383,82,0,0,A1,0,18,20,13,18,110
0,0,18752,53,43,0,C,24,H,M,6,1,9,971,481,92,0,0,A1,0.286,16,20,12,16,53
0,0,18975,17,43,0,R,49,H,F,3,1,,670,291,66,0,0,F1,0.5,16,20,12,16,16
0,0,21368,17,43,0,T,36,U,F,6,0,,498,243,75,0,0,F1,0.5,17,25,13,17,17
1,25,21375,29,43,0,T,36,U,F,4,0,,498,243,75,0,0,A1,0.125,28,25,14,17,29
1,10,21659,41,43,0,R,46,H,M,6,1,,502,199,86,1,1,S4,0.333,21,6,12,18,40
0,0,21912,113,43,0,R,53,H,M,3,0,,531,209,89,0,0,A2,0.286,17,15,15,17,111
0,0,21933,53,43,0,C,28,H,F,5,1,7,828,332,81,0,0,A2,0.111,23,20,13,18,52
0,0,23640,41,43,0,R,42,H,F,7,0,,680,318,83,0,0,A1,0.143,18,15,10,18,41
0,0,23877,29,43,0,C,22,H,M,3,1,,882,363,53,0,0,A1,0.2,20,15,10,20,33
0,0,24521,113,43,0,T,40,H,F,5,1,9,671,348,69,1,0,A2,0.222,20,10,13,20,111
0,0,24790,41,43,0,R,51,H,F,4,1,7,442,245,84,0,0,L1,0,15,20,12,15,44
0,0,25920,41,43,0,C,24,H,M,3,0,,1307,739,93,0,0,A2,0.111,17,10,14,15,40
0,0,27222,101,43,0,R,45,H,M,7,1,1,456,205,60,1,1,S3,0.091,16,14,14,16,97
0,0,28360,17,43,0,S,17,H,F,5,0,,0,0,0,0,0,F1,0.5,17,20,10,17,17
0,0,28392,17,43,0,S,14,H,F,7,0,,5192,1157,95,0,0,F1,0.333,21,20,10,21,21
1,20,29373,101,43,0,T,35,H,F,4,1,8,860,468,92,1,1,S2,0.273,17,20,14,17,93
0,0,29549,137,43,0,T,36,H,F,2,0,1,539,287,80,0,0,A3,0.091,17,25,16,17,126
0,0,29693,113,43,0,R,49,H,M,4,1,5,581,304,81,1,1,S2,0.455,18,12,14,18,101
0,0,29722,137,43,0,R,49,H,F,4,0,4,649,313,75,1,1,S2,0.182,19,15,13,18,122
0,0,29967,41,43,0,R,44,H,M,5,0,,686,344,83,0,0,A2,0,15,25,13,15,42
0,0,30578,89,43,0,C,25,U,F,2,1,9,1150,192,31,0,0,A1,0.091,19,25,13,19,89
1,10,30988,41,43,0,R,44,U,F,,0,,717,316,63,0,0,A1,0,17,15,10,17,42
0,0,31206,41,43,0,T,36,H,F,4,0,,428,231,64,1,0,A2,0.375,16,15,11,16,40
0,0,31262,29,43,0,R,47,U,F,,0,,412,205,76,0,0,A1,0.2,18,15,10,18,29
0,0,31414,113,43,0,T,35,H,F,5,1,5,681,324,83,1,1,S4,0.545,17,6,12,15,113
0,0,31660,17,43,0,T,35,H,M,4,1,,793,425,86,0,0,F1,0.5,17,15,10,17,17
0,0,31711,41,43,0,?,,H,F,4,0,0,669,242,61,1,0,A1,0.1,18,20,13,18,44
0,0,32948,137,43,0,T,41,H,F,5,1,5,465,292,75,1,0,A1,0,27,15,10,27,130
0,0,33283,29,43,0,C,24,H,M,7,0,,1042,434,70,0,0,A1,0,26,25,11,26,32
0,0,34563,29,43,0,S,17,H,M,3,0,,716,244,57,1,0,N4,0.5,15,11,13,15,27
0,0,35653,29,43,0,S,12,H,M,6,1,,1407,578,82,0,0,A4,0.5,17,11,13,17,33
0,0,35657,41,43,0,S,15,H,F,4,1,,864,275,80,0,0,A1,0.222,21,25,13,21,39
1,15,39031,77,43,0,U,2,U,F,1,1,,1200,537,98,0,0,A2,0.167,16,10,13,16,77
0,0,39357,41,43,0,U,10,U,U,,0,,1065,268,62,1,0,A2,0.3,16,25,13,16,44
0,0,39617,89,43,0,T,35,H,M,7,1,,1671,615,87,1,0,A1,0,29,50,13,17,79
1,20,39659,53,43,0,S,21,U,M,4,0,5,897,208,95,1,1,S3,0.455,19,15,13,19,53
0,0,40388,113,43,0,T,40,H,M,5,1,,1071,410,93,0,0,A2,0.167,22,15,12,22,105
0,0,40470,137,43,0,T,35,H,F,6,0,9,1396,518,96,1,0,A1,0.222,26,11,9,26,120
0,0,41463,17,43,0,S,21,H,F,4,0,,325,281,61,0,0,F1,0,20,20,10,20,20
0,0,42417,113,43,0,R,48,H,M,2,1,4,648,241,88,1,0,A1,0.111,20,16,13,20,113
0,0,42944,137,43,0,T,34,H,M,4,0,9,3530,704,76,1,1,S2,0.364,16,25,13,16,129
1,5,43052,65,43,0,C,23,U,F,,1,9,2038,390,47,0,0,A3,0.333,18,15,7,18,64
1,15,47531,65,43,0,C,25,H,F,5,1,1,523,110,39,1,0,A1,0,26,15,9,26,65
1,10,47827,137,43,0,R,49,H,M,6,1,7,570,318,83,1,0,A4,0.1,19,10,15,19,124
0,0,48674,41,43,0,C,24,U,M,4,1,7,1042,508,73,1,1,S4,0.7,16,5,13,16,44
0,0,49631,65,43,0,R,50,H,F,7,1,0,348,105,67,0,0,A1,0.125,18,16,12,18,56
1,15,50427,101,43,0,T,40,H,F,3,0,8,871,464,88,1,0,A1,0.2,22,15,12,22,105
0,0,51120,65,43,0,R,43,U,F,1,0,3,468,249,81,1,1,S2,0.273,21,12,13,21,64
1,10,51469,29,43,0,C,25,H,F,5,1,,616,295,45,1,0,A4,0.5,15,10,14,15,29
1,15,53295,29,43,0,U,8,H,F,3,0,,470,235,67,0,0,A1,0.167,26,15,10,26,31
1,18,53611,41,43,0,S,21,H,F,2,0,,468,245,89,1,0,A1,0.273,30,15,13,18,41
0,0,54125,101,43,0,R,44,U,F,4,1,7,826,346,83,0,0,A1,0.182,24,25,12,24,93
0,0,54553,41,43,0,T,34,H,M,6,0,9,1139,437,73,0,0,A2,0.2,24,20,11,24,44
0,0,55156,41,43,0,T,38,H,M,6,1,,550,179,53,1,1,S4,0.7,15,13,13,15,36
1,16,55172,77,43,0,T,40,H,F,2,1,7,412,307,86,0,0,A1,0.222,20,16,13,20,76
0,0,56826,29,43,0,S,14,H,F,6,1,,1739,514,85,0,0,A1,0,26,15,9,26,31
0,0,58395,41,43,0,R,49,H,F,5,1,,440,258,86,1,1,S4,0.3,15,6,12,15,40
0,0,59681,125,43,0,T,40,U,M,6,1,,620,360,92,1,0,A1,0,26,12,9,26,124
1,16,59744,53,43,0,T,36,U,F,,0,4,595,284,63,1,0,A3,0.333,16,12,14,16,53
0,0,60176,41,43,0,T,40,H,F,1,1,,729,435,90,1,0,A4,0.6,17,6,12,17,40
0,0,60940,77,43,0,C,27,U,M,,1,,526,286,83,0,0,A1,0,26,20,9,26,74
0,0,62171,137,43,0,R,49,U,U,,0,5,493,324,80,1,0,A1,0.091,25,20,11,25,127
1,10,64441,137,43,0,R,53,U,M,2,1,,386,258,74,1,1,S2,0,20,10,13,20,122
0,0,64873,41,43,0,S,16,H,F,5,1,,691,307,58,1,1,S3,0.3,18,11,13,18,40
0,0,65139,29,43,0,T,40,H,M,5,0,,615,350,80,0,0,A1,0.167,18,20,10,18,33
0,0,66990,17,43,0,T,40,H,F,7,1,,1281,550,92,0,0,N2,0,15,20,12,15,20
1,8,67333,29,43,0,S,12,H,F,7,0,,1092,580,98,0,0,N3,0.4,20,11,12,18,23
0,0,67354,89,43,0,T,39,U,F,,0,1,1179,464,87,1,0,A2,0,15,20,13,15,86
1,30,67495,89,43,0,C,24,H,F,7,1,8,913,533,94,0,0,A2,0.111,15,25,13,15,88
0,0,67982,17,43,0,U,5,H,F,7,1,,414,346,71,0,0,F1,0,,20,10,18,18
1,10,68148,41,43,0,U,10,H,F,5,0,,245,189,60,0,0,A4,0.222,19,10,12,18,41
0,0,68644,89,43,0,S,12,H,F,4,1,9,1355,630,98,0,0,A1,0.25,24,15,8,24,80
1,18,71943,77,43,0,R,43,U,M,5,0,2,417,256,86,1,1,S3,0.273,18,15,14,18,68
0,0,74005,29,43,0,R,49,H,F,2,0,,568,268,84,1,0,A4,0.429,17,20,13,17,29
0,0,74024,89,43,0,R,43,U,M,,0,1,444,218,77,1,0,A1,0.3,22,10,11,22,88
0,0,74205,41,43,0,R,51,H,F,3,0,,459,210,73,0,0,A2,0.2,22,20,13,22,40
0,0,74305,77,43,0,R,46,H,M,5,1,2,582,258,75,1,1,S2,0.1,16,20,14,16,75
0,0,74548,41,43,0,R,49,H,F,6,0,0,448,233,69,0,0,A2,0.25,19,20,13,19,45
1,12,74589,41,43,0,T,35,H,F,5,1,,795,442,86,0,0,A2,0.429,16,15,13,16,44
0,0,75447,113,43,0,R,45,H,F,3,0,2,270,244,75,1,0,A1,0.182,22,19,12,22,104
0,0,75960,17,43,0,T,36,U,F,2,0,,612,249,83,0,0,N2,0.5,17,20,12,16,17
1,14,76030,41,43,0,S,20,U,M,4,1,,551,304,50,1,1,S4,0.6,20,10,13,20,41
0,0,76087,65,43,0,R,51,U,F,2,0,2,211,248,71,0,0,A1,0,19,20,12,19,64
0,0,76632,77,43,0,S,17,H,F,5,1,8,591,411,55,1,1,S2,0.3,23,13,12,23,77
0,0,76770,29,43,0,C,27,U,F,7,0,,404,269,73,0,0,A2,0.429,22,10,13,22,29
1,15,77432,77,43,0,T,38,U,M,2,1,5,673,293,50,1,1,S4,0.636,20,13,14,20,67
0,0,77516,89,43,0,T,40,H,M,5,1,9,1101,449,82,0,0,A1,0.167,19,16,10,19,80
0,0,77918,113,43,0,S,18,H,F,5,1,7,615,297,58,1,1,S2,0,19,22,13,19,111
0,0,78030,125,43,0,R,42,U,M,,0,7,875,425,86,1,0,A1,0.111,26,17,10,26,125
0,0,78581,29,43,0,U,5,H,F,5,0,,544,288,68,0,0,A1,0.333,18,20,10,18,29
0,0,78957,29,43,0,T,35,U,M,4,1,,1008,421,90,1,0,N3,0.25,15,10,12,15,24
0,0,81710,113,43,0,R,44,H,F,6,1,,797,397,84,0,0,A2,0,18,11,12,18,111
0,0,81893,17,43,0,R,44,U,F,1,0,,635,348,81,0,0,N2,0.333,17,30,13,17,20
0,0,82264,101,43,0,R,45,U,F,5,0,2,502,216,79,0,0,A1,0,18,20,13,18,90
0,0,82911,65,43,0,S,14,H,F,7,0,,1532,643,94,0,0,A1,0.2,18,15,10,18,56
0,0,83145,17,43,0,T,40,H,F,2,0,,921,421,91,0,0,F1,0.5,17,15,10,17,17
0,0,83151,17,43,0,T,40,H,F,5,0,,878,480,96,0,0,F1,0.5,16,15,11,16,16
1,5,83220,29,43,0,R,45,U,F,4,0,,391,280,84,0,0,N1,0.167,26,15,7,26,26
0,0,84311,125,43,0,R,51,U,F,1,1,,330,198,82,0,0,A2,0.111,19,16,13,19,115
0,0,84417,41,43,0,T,41,H,M,4,1,,313,197,76,0,0,A2,0.182,20,50,13,20,41
0,0,84863,65,43,0,C,27,H,F,4,1,5,578,316,79,0,0,A1,0,26,15,9,26,63
0,0,85654,41,43,0,R,53,U,F,3,0,,376,157,83,0,0,A1,0,17,15,10,17,40
0,0,86083,41,43,0,T,39,H,F,4,1,,455,191,73,1,0,A3,0.455,22,4,12,22,44
0,0,86323,29,43,0,T,36,U,M,3,1,,380,174,55,0,0,A2,0,26,15,11,18,32
0,0,86444,53,43,0,C,22,U,F,4,0,7,751,304,60,0,0,A1,0.2,21,15,10,21,53
0,0,88417,17,43,0,S,14,H,F,6,1,,2673,761,97,0,0,F1,0.5,17,20,10,17,17
0,0,88547,17,43,0,S,13,H,F,7,0,,1452,494,88,0,0,F1,0,16,15,11,16,16
1,40,88886,41,43,0,R,44,H,M,2,1,6,962,391,71,0,0,A1,0,27,25,13,18,44
0,0,89274,17,43,0,S,18,H,F,5,0,,938,501,91,0,0,N2,0.5,17,6,12,15,17
0,0,89649,113,43,0,S,18,U,F,3,1,6,1025,435,77,1,1,S4,0.143,18,10,9,18,103
0,0,89750,17,43,0,S,18,U,M,4,0,,948,347,93,0,0,F1,0.5,18,15,10,18,18
0,0,90551,29,43,0,S,14,H,M,5,1,,1721,618,95,1,1,S4,0.75,17,5,13,17,33
0,0,92198,101,43,0,C,27,H,U,2,0,6,1123,412,83,1,1,S4,0.333,18,12,14,18,101
0,0,92231,77,43,0,C,24,H,F,7,1,9,1682,694,97,0,0,A1,0,18,30,13,18,68
0,0,92254,53,43,0,C,22,U,F,3,1,5,1322,381,25,0,0,A1,0,25,50,13,25,52
0,0,92455,137,43,0,C,24,H,F,6,1,8,1280,543,95,1,0,A1,0.4,24,15,11,24,126
0,0,94201,65,43,0,U,8,H,F,3,1,6,765,408,59,1,0,A1,0.091,26,16,11,26,63
0,0,94281,17,43,0,U,5,H,F,7,0,,1365,337,59,0,0,F1,0.5,16,25,12,16,16
0,0,94395,17,43,0,U,8,H,F,4,0,,675,335,26,0,0,N1,0.333,21,15,8,21,21
0,0,94524,113,43,0,U,6,U,F,,0,3,1059,305,46,1,0,A1,0.125,18,25,8,18,113
0,0,96104,89,43,0,R,49,H,M,7,0,5,421,302,75,0,0,A1,0,26,20,10,26,81
0,0,96482,89,43,0,S,18,H,F,5,0,7,691,521,97,1,0,A2,0.222,18,10,14,18,78
0,0,97362,41,43,0,C,27,H,F,2,0,5,540,363,89,0,0,A2,0.1,19,5,11,19,43
0,0,97828,101,43,0,R,44,H,F,7,1,6,854,436,91,0,0,A1,0,19,20,14,19,97
0,0,99579,41,43,0,S,11,H,M,6,1,8,1072,461,62,0,0,A1,0.111,21,25,12,21,45
1,3,100447,65,43,0,S,16,H,F,3,0,,806,357,81,1,1,S4,0.444,17,3,12,17,56
0,0,101157,113,43,0,R,44,H,M,4,1,8,950,415,85,1,0,A1,0.3,17,10,13,17,105
0,0,101521,29,43,0,R,53,H,M,2,1,,284,208,74,0,0,N3,0.4,19,11,12,19,24
1,30,102011,101,43,0,R,43,U,F,4,1,4,576,243,91,1,0,L1,0.1,15,28,13,15,93
1,15,103416,29,43,0,T,36,U,M,3,0,,406,261,65,0,0,N2,0,18,16,11,18,27
0,0,103805,101,43,0,R,51,H,F,5,1,1,272,163,86,0,0,A2,0.273,22,10,14,22,90
1,11,103913,41,43,0,R,53,U,F,,0,0,297,146,51,1,1,S4,0.636,16,12,14,16,45
1,5,103920,29,43,0,R,53,U,M,1,0,,325,134,65,0,0,A4,0.333,16,5,8,15,28
0,0,103989,29,43,0,R,44,H,F,5,0,,645,332,83,0,0,N2,0.286,21,20,11,21,26
1,5,104367,29,43,0,S,14,U,M,6,0,,858,386,90,1,0,A4,0.571,18,8,12,18,28
1,15,104905,41,43,0,S,12,H,F,5,0,9,877,382,61,0,0,A2,0,19,15,14,19,45
0,0,105955,137,43,0,C,28,H,F,4,1,8,602,406,87,1,1,S2,0.273,21,14,13,21,129
0,0,106588,17,43,0,T,35,H,F,5,1,,818,450,89,0,0,F1,0.333,21,15,8,21,21
0,0,106916,29,43,0,C,22,U,M,3,0,,515,173,58,0,0,A3,0.286,18,10,13,18,32
0,0,106917,29,43,0,C,22,H,F,5,0,,692,191,20,0,0,A2,0.429,16,15,14,16,33
0,0,106965,101,43,0,S,17,H,F,7,0,,581,315,62,1,0,A1,0.2,17,27,15,17,90
0,0,108573,17,43,0,C,32,U,F,4,0,,528,148,55,0,0,F1,0,19,20,10,19,19
0,0,108698,137,43,0,R,51,U,F,4,0,1,442,204,88,1,0,A1,0,22,17,12,22,122
0,0,111078,41,43,0,T,41,H,F,5,1,,321,115,47,0,0,A3,0.3,17,10,17,17,41
0,0,112889,41,43,0,R,51,U,M,,0,,278,181,79,0,0,A1,0,15,20,11,15,44
0,0,113007,53,43,0,T,34,H,F,6,1,8,737,407,78,0,0,A1,0,18,20,12,18,53
0,0,114141,65,43,0,S,18,H,F,6,0,8,707,326,61,0,0,A2,0.182,24,10,11,24,53
0,0,115314,65,43,0,T,36,H,F,6,0,5,436,191,69,0,0,A1,0,19,20,13,19,56
0,0,116062,41,43,0,C,22,U,M,4,1,,675,264,0,0,0,A1,0,,30,12,25,42
0,0,116346,29,43,0,T,35,H,F,7,1,,1156,451,88,0,0,A1,0.167,18,17,10,18,29
0,0,116356,89,43,0,T,39,U,F,,0,8,651,338,77,1,1,S2,0.111,17,10,13,17,89
0,0,119615,29,43,0,S,15,U,M,4,1,,693,383,73,0,0,N1,0,,20,8,22,22
1,20,120022,29,43,0,T,35,H,F,4,1,,825,564,92,0,0,A2,0.167,22,10,11,22,32
0,0,120630,41,43,0,C,24,H,M,5,0,,973,548,78,1,0,A4,0.455,18,10,13,18,45
0,0,120795,29,43,0,C,24,H,F,7,1,,1258,441,61,0,0,A1,0.167,19,15,10,19,29
0,0,121799,77,43,0,U,2,H,M,7,0,9,1699,512,42,0,0,A3,0.111,18,25,13,18,67
0,0,122162,65,43,0,C,31,H,F,4,1,2,637,208,23,0,0,A1,0,25,17,11,25,57
1,20,122256,41,43,0,U,2,H,F,5,0,,637,404,52,1,1,S3,0.556,21,3,12,21,38
1,25,123622,29,43,0,S,21,H,M,6,1,,351,241,70,0,0,A1,0.25,25,22,11,25,29
0,0,124189,29,43,0,R,51,H,F,7,0,,359,192,88,0,0,N1,0.25,24,25,9,24,24
0,0,127843,89,43,0,C,31,H,F,5,0,,439,140,31,1,1,S2,0.182,26,10,13,18,86
0,0,128478,29,43,0,C,24,H,F,6,1,,631,464,89,1,0,A4,0.444,17,7,12,17,33
1,10,129530,17,43,0,S,17,H,M,7,0,,593,163,24,0,0,N2,0.25,21,10,12,19,21
0,0,130433,29,43,0,S,21,H,F,5,1,,682,345,70,0,0,A3,0.429,21,15,14,21,27
1,20,130554,137,43,0,S,18,H,F,4,1,6,663,375,84,1,1,S2,0.167,18,10,8,18,127
0,0,130892,65,43,0,T,35,H,F,4,0,7,936,401,86,0,0,A1,0.167,21,20,9,21,61
0,0,131404,113,43,0,S,18,H,M,2,1,2,749,363,85,0,0,A1,0,19,15,11,19,103
1,15,131465,29,43,0,T,34,H,F,5,1,,1113,393,75,0,0,A2,0.125,18,15,11,18,33
0,0,131531,17,43,0,S,12,H,M,5,1,,752,275,83,0,0,N1,0.333,21,50,11,21,21
0,0,132194,41,43,0,R,49,H,M,5,1,,622,248,79,0,0,A1,0,,15,9,26,44
0,0,132414,125,43,0,R,44,U,F,2,0,,984,282,53,0,0,A2,0.222,21,17,12,21,125
1,20,135284,41,43,0,U,2,U,F,6,1,,1172,415,82,0,0,A1,0.167,23,20,10,23,41
0,0,136679,65,43,0,T,40,U,F,3,0,,884,413,70,1,1,S3,0.6,16,7,13,16,64
0,0,136917,29,43,0,S,18,H,M,4,0,,840,432,95,1,0,A4,0.143,15,10,13,15,32
1,8,136990,113,43,0,T,35,H,M,6,0,,1074,469,96,1,1,S4,0.636,16,9,14,16,113
0,0,137777,41,43,0,R,49,H,F,5,1,,740,292,87,1,0,A1,0.333,19,16,12,19,41
1,10,138173,53,43,0,S,11,H,F,3,0,8,785,390,77,1,1,S2,0.182,15,12,13,15,51
1,20,138814,41,43,0,T,37,H,F,2,0,2,940,203,70,1,0,A4,0.556,21,6,9,18,45
0,0,139882,65,43,0,R,43,H,F,3,1,1,567,150,78,0,0,A2,0.125,20,26,14,20,65
0,0,139965,41,43,0,R,42,H,F,6,0,,1551,298,65,0,0,A1,0.167,24,15,9,24,44
0,0,141228,77,43,0,S,18,U,F,,0,6,375,205,85,0,0,A1,0.091,18,50,14,18,69
1,5,141720,29,43,0,T,35,H,F,6,0,,1569,673,94,0,0,A1,0.333,21,16,10,21,29
0,0,142899,29,43,0,U,3,U,F,2,0,,3602,395,44,0,0,N2,0,18,20,11,18,27
0,0,144261,65,43,0,U,1,U,M,5,0,9,971,366,59,0,0,A1,0.143,16,20,15,16,56
1,25,144309,17,43,0,U,5,H,M,4,0,,2698,505,85,0,0,F1,0.5,16,25,12,16,16
0,0,144702,17,43,0,U,2,H,F,6,0,,5572,727,82,0,0,N1,0.333,21,25,11,21,21
0,0,145255,17,43,0,U,1,H,M,7,0,,2917,278,9,0,0,F1,0.5,17,25,11,17,17
0,0,145894,29,43,0,S,13,H,F,7,0,,2558,556,89,0,0,A1,0,19,15,10,19,28
1,10,146914,41,43,0,U,3,H,F,6,0,,3673,515,64,1,1,S3,0.333,19,10,12,19,38
0,0,147726,41,43,0,S,13,H,M,7,1,4,3005,348,65,0,0,A1,0,,20,9,25,44
0,0,148778,29,43,0,S,14,H,F,6,0,,5305,830,95,0,0,N1,0.25,24,20,8,24,24
1,10,148795,41,43,0,S,12,H,M,7,0,,2259,557,85,1,1,S3,0.111,16,10,13,16,39
0,0,148852,29,43,0,C,24,H,M,7,0,,2394,551,89,0,0,A3,0.25,17,10,13,17,31
0,0,149162,41,43,0,S,14,H,F,6,0,,4507,842,93,0,0,A3,0.222,23,25,14,22,39
0,0,150081,17,43,0,T,35,H,F,5,0,,1956,554,88,0,0,F1,0.5,17,50,11,17,17
1,12,150739,137,43,0,S,14,H,U,7,0,7,1951,556,93,1,1,S2,0.1,26,15,10,26,126
0,0,151122,137,43,0,U,6,H,M,5,0,,2224,297,30,1,1,S3,0.636,21,8,11,21,124
0,0,151362,53,43,0,S,19,H,M,3,0,6,1896,430,82,1,0,A4,0.636,22,10,13,22,53
0,0,152784,137,43,0,T,40,H,U,4,1,4,1645,363,63,1,1,S2,0.364,21,21,12,21,128
1,11,152821,41,43,0,S,20,H,F,5,1,,1633,286,97,1,0,A3,0.333,15,5,13,15,41
0,0,153239,29,43,0,U,3,H,M,2,1,,2706,327,46,0,0,A1,0.286,16,20,13,16,32
